year,salary
1989,0.7769033
1990,1.039812
1989,-0.3012976
1990,-0.2344583
1989,1.51296
1990,1.617864
1989,1.279709
1990,1.399882
1989,1.419925
1990,1.402491
1989,1.21746
1990,1.46711
1989,1.321547
1990,1.449652
1989,1.411291
1990,1.639132
1989,0.0947308
1990,0.1663664
1989,0.2386547
1990,0.3021542
1989,0.8541781
1990,0.9265899
1989,0.4337736
1990,0.4549527
1989,0.0500044
1990,0.1901013
1989,1.376781
1990,1.426674
1989,1.504197
1990,1.449554
1989,1.414362
1990,1.419941
1989,1.324912
1990,1.421713
1989,-0.620087
1990,-0.3282701
1989,1.350553
1990,1.480273
1989,1.446788
1990,1.526097
1989,1.29085
1990,1.396857
1989,1.146124
1990,1.295456
1989,1.828656
1990,1.8965
1989,1.251699
1990,1.400834
1989,1.309374
1990,1.425941
1989,1.244763
1990,1.426534
1989,1.303135
1990,1.383837
1989,1.324791
1990,1.400074
1989,1.061855
1990,1.442965
1989,1.442326
1990,1.08623
1989,-0.432432
1990,-0.001836
1989,1.248025
1990,1.383121
1989,-0.4014759
1990,-0.3157121
1989,-0.1599837
1990,0.0073791
1989,1.501629
1990,1.732791
1989,1.1218
1990,1.533717
1989,-0.1988987
1990,-0.7453395
1989,-0.127473
1990,0.0086455
1989,-0.2536358
1990,-0.1940165
1989,-0.5785266
1990,-0.5937768
1989,0.9753422
1990,1.40979
1989,1.30008
1990,1.388138
1989,1.24103
1990,1.497905
1989,1.735799
1990,1.829153
1989,1.718793
1990,1.609268
1989,-0.1988603
1990,-0.1403024
1989,-0.1973057
1990,-0.1879864
1989,0.9718711
1990,1.130804
1989,0.868223
1990,0.873167
1989,0.9121225
1990,0.9594876
1989,0.9672288
1990,1.029248
1989,0.6633435
1990,0.691602
1989,0.9445527
1990,0.9712251
1989,0.49967
1990,0.6991716
1989,0.9363372
1990,0.9487064
1989,0.921189
1990,1.083199
1989,1.086691
1990,1.342736
1989,0.9709896
1990,0.9287432
1989,0.3055429
1990,0.7313582
1989,0.6742022
1990,0.761304
1989,0.7298381
1990,0.7763188
1989,0.317817
1990,0.7029469
1989,0.862532
1990,1.001491
1989,0.3942135
1990,0.3619921
1989,0.9310294
1990,0.7282456
1989,0.4426416
1990,0.5439141
1989,0.250178
1990,0.3832262
1989,0.5045472
1990,0.6431637
1989,-0.2272674
1990,-0.1891102
1989,0.4189059
1990,0.4042661
1989,0.3279527
1990,0.3317861
1989,0.1477789
1990,0.2335202
1989,0.2939764
1990,0.3213416
1989,0.4665883
1990,0.4842883
1989,0.6806554
1990,0.747282
1989,0.5075876
1990,0.6449615
1989,0.4462444
1990,0.427429
1989,0.3914852
1990,0.3799241
1989,0.0736774
1990,0.2522697
1989,0.7968299
1990,0.9810615
1989,0.4750779
1990,0.6580697
1989,0.3634126
1990,0.2174566
1989,0.7493605
1990,0.9154726
1989,1.27495
1990,1.213531
1989,0.883119
1990,0.8812507
1989,1.16955
1990,1.215728
1989,0.679135
1990,0.7147737
1989,0.9284961
