datetime,pm2.5,co,no,no2,pm10,nox,o3,veloc.,direc.,so2
2020-01-01 00:00:00,77.0,0.2,16.0,45.0,83.0,69.0,3.0,0.3,16.0,7.0
2020-01-01 01:00:00,65.0,0.2,20.0,37.0,70.0,68.0,3.0,0.2,21.0,5.0
2020-01-01 02:00:00,47.0,0.1,16.0,35.0,51.0,61.0,3.0,0.2,35.0,5.0
2020-01-01 03:00:00,43.0,0.1,16.0,29.0,46.0,53.0,3.0,0.1,71.0,5.0
2020-01-01 04:00:00,36.0,0.1,10.0,23.0,39.0,39.0,3.0,0.1,236.0,4.0
2020-01-01 05:00:00,28.0,0.1,2.0,19.0,30.0,23.0,3.0,0.2,243.0,4.0
2020-01-01 06:00:00,25.0,0.1,2.0,19.0,27.0,22.0,3.0,0.1,28.0,3.0
2020-01-01 07:00:00,24.0,0.1,6.0,22.0,26.0,32.0,3.0,0.3,346.0,4.0
2020-01-01 08:00:00,22.0,0.1,8.0,17.0,24.0,29.0,3.0,0.2,292.0,4.0
2020-01-01 09:00:00,22.0,0.1,6.0,19.0,24.0,27.0,5.0,0.3,284.0,3.0
2020-01-01 10:00:00,24.0,0.1,9.0,22.0,26.0,35.0,8.0,0.6,274.0,4.0
2020-01-01 11:00:00,28.0,0.1,5.0,17.0,30.0,24.0,25.0,0.8,263.0,4.0
2020-01-01 12:00:00,34.0,0.1,1.0,12.0,36.0,14.0,44.0,0.5,257.0,3.0
2020-01-01 13:00:00,35.0,0.1,1.0,15.0,38.0,17.0,46.0,0.5,133.0,3.0
2020-01-01 14:00:00,31.0,0.1,1.0,17.0,34.0,19.0,50.0,0.8,102.0,3.0
2020-01-01 15:00:00,28.0,0.3,1.0,19.0,30.0,21.0,49.0,0.8,116.0,3.0
2020-01-01 16:00:00,26.0,0.3,1.0,13.0,28.0,15.0,57.0,0.5,107.0,3.0
2020-01-01 17:00:00,29.0,0.3,1.0,23.0,31.0,25.0,44.0,0.6,83.0,3.0
2020-01-01 18:00:00,30.0,0.4,1.0,22.0,33.0,24.0,43.0,0.2,64.0,3.0
2020-01-01 19:00:00,34.0,0.3,1.0,43.0,36.0,45.0,21.0,0.1,45.0,3.0
2020-01-01 20:00:00,37.0,0.2,41.0,68.0,40.0,131.0,4.0,0.1,27.0,3.0
2020-01-01 21:00:00,44.0,0.2,54.0,70.0,47.0,153.0,3.0,0.3,264.0,5.0
2020-01-01 22:00:00,44.0,0.1,16.0,56.0,47.0,81.0,4.0,0.3,239.0,4.0
2020-01-01 23:00:00,40.0,0.1,4.0,47.0,44.0,54.0,6.0,0.5,259.0,5.0
2020-01-02 00:00:00,37.0,0.1,1.0,35.0,40.0,36.0,12.0,0.2,238.0,4.0
2020-01-02 01:00:00,37.0,0.1,1.0,29.0,40.0,31.0,7.0,0.3,233.0,3.0
2020-01-02 02:00:00,36.0,0.1,1.0,26.0,38.0,28.0,4.0,0.9,222.0,3.0
2020-01-02 03:00:00,33.0,0.1,1.0,18.0,36.0,20.0,14.0,0.6,244.0,3.0
