Date,Number of flights, ,,,,,,,,,,
02/01/2019,5147,, ,,,,,,,,,
03/01/2019,5518, ,, ,,,,,,,,
04/01/2019,5588, ,,,,,,,,,,
05/01/2019,4798,,,, ,,,,,,,
06/01/2019,5329, ,, ,,,,,,,,
07/01/2019,5288,,,,,,,,,,,
08/01/2019,4670,,,,,,,,,,,
09/01/2019,4702,,,,,,,,,,,
10/01/2019,5056,,,,,,,,,,,
11/01/2019,5330,,,,,,,,,,,
12/01/2019,4227,,,,,,,,,,,
13/01/2019,4848,,,,, ,,,,,,
14/01/2019,5147,,,,,,,,,,,
15/01/2019,4596,,,,,,,,,,,
16/01/2019,4625,,,,,,,,,,,
17/01/2019,5068,,,,,,,,,,,
18/01/2019,5426,,,,,,,,,,,
19/01/2019,4172,,,,,,,,,,,
20/01/2019,4929,,,,,,,,,,,
21/01/2019,5167,,,,,,,,,,,
22/01/2019,4550,,,,,,,,,,,
23/01/2019,4611,,,,,,,,,,,
24/01/2019,5089,,,,,,,,,,,
25/01/2019,5444,,,,,,,,,,,
26/01/2019,4215,,,,,,,,,,,
27/01/2019,4899,,,,,,,,,,,
28/01/2019,5252,,,,,,,,,,,
29/01/2019,4638,,,,,,,,,,,
30/01/2019,4686,,,,,,,,,,,
31/01/2019,5026,,,,,,,,,,,
01/02/2019,5182,,,,,,,,,,,
02/02/2019,4362,,,,,,,,,,,
03/02/2019,5044,,,,,,,,,,,
04/02/2019,5262,,,,,,,,,,,
05/02/2019,4767,,,,,,,,,,,
06/02/2019,4867,,,,,,,,,,,
07/02/2019,5363,,,,,,,,,,,
08/02/2019,5508,,,,,,,,,,,
09/02/2019,4499,,,,,,,,,,,
10/02/2019,5098,,,,,,,,,,,
11/02/2019,5475,,,,,,,,,,,
12/02/2019,5046,,,,,,,,,,,
13/02/2019,5035,,,,,,,,,,,
14/02/2019,5548,,,,,,,,,,,
15/02/2019,5961,,,,,,,,,,,
16/02/2019,5054,,,,,,,,,,,
17/02/2019,5290,,,,,,,,,,,
18/02/2019,5529,,,,,,,,,,,
19/02/2019,5154,,,,,,,,,,,
20/02/2019,5026,,,,,,,,,,,
21/02/2019,5527,,,,,,,,,,,
22/02/2019,5611,,,,,,,,,,,
23/02/2019,4981,,,,,,,,,,,
24/02/2019,5692,,,,,,,,,,,
25/02/2019,5621,,,,,,,,,,,
26/02/2019,5200,,,,,,,,,,,
27/02/2019,5122,,,,,,,,,,,
28/02/2019,5569,,,,,,,,,,,
01/03/2019,5818,,,,,,,,,,,
02/03/2019,4657,,,,,,,,,,,
03/03/2019,5144,,,,,,,,,,,
04/03/2019,5590,,,,,,,,,,,
05/03/2019,5140,,,,,,,,,,,
06/03/2019,5112,,,,,,,,,,,
07/03/2019,5581,,,,,,,,,,,
08/03/2019,5833,,,,,,,,,,,
09/03/2019,4621,,,,,,,,,,,
10/03/2019,5184,,,,,,,,,,,
11/03/2019,5693,,,,,,,,,,,
12/03/2019,5089,,,,,,,,,,,
13/03/2019,5076,,,,,,,,,,,
14/03/2019,5583,,,,,,,,,,,
15/03/2019,5883,,,,,,,,,,,
16/03/2019,4673,,,,,,,,,,,
17/03/2019,5324,,,,,,,,,,,
18/03/2019,5693,,,,,,,,,,,
19/03/2019,5209,,,,,,,,,,,
20/03/2019,5182,,,,,,,,,,,
21/03/2019,5665,,,,,,,,,,,
22/03/2019,5891,,,,,,,,,,,
23/03/2019,4670,,,,,,,,,,,
24/03/2019,5313,,,,,,,,,,,
25/03/2019,5621,,,,,,,,,,,
26/03/2019,5233,,,,,,,,,,,
27/03/2019,5243,,,,,,,,,,,
28/03/2019,5709,,,,,,,,,,,
29/03/2019,5985,,,,,,,,,,,
30/03/2019,4788,,,,,,,,,,,
31/03/2019,5361,,,,,,,,,,,
01/04/2019,6058,,,,,,,,,,,
02/04/2019,5832,,,,,,,,,,,
03/04/2019,5915,,,,,,,,,,,
04/04/2019,6078,,,,,,,,,,,
05/04/2019,6288,,,,,,,,,,,
06/04/2019,5353,,,,,,,,,,,
07/04/2019,5710,,,,,,,,,,,
08/04/2019,6125,,,,,,,,,,,
09/04/2019,5946,,,,,,,,,,,
10/04/2019,6064,,,,,,,,,,,
11/04/2019,6198,,,,,,,,,,,
12/04/2019,6372,,,,,,,,,,,
13/04/2019,5367,,,,,,,,,,,
14/04/2019,5761,,,,,,,,,,,
15/04/2019,6119,,,,,,,,,,,
16/04/2019,5930,,,,,,,,,,,
17/04/2019,5989,,,,,,,,,,,
18/04/2019,6268,,,,,,,,,,,
19/04/2019,5859,,,,,,,,,,,
20/04/2019,5174,,,,,,,,,,,
21/04/2019,5555,,,,,,,,,,,
22/04/2019,5903,,,,,,,,,,,
23/04/2019,5999,,,,,,,,,,,
24/04/2019,5983,,,,,,,,,,,
25/04/2019,6106,,,,,,,,,,,
26/04/2019,6253,,,,,,,,,,,
27/04/2019,5172,,,,,,,,,,,
28/04/2019,5677,,,,,,,,,,,
29/04/2019,6201,,,,,,,,,,,
30/04/2019,6085,,,,,,,,,,,
01/05/2019,6157,,,,,,,,,,,
02/05/2019,6396,,,,,,,,,,,
03/05/2019,6677,,,,,,,,,,,
04/05/2019,5474,,,,,,,,,,,
05/05/2019,5900,,,,,,,,,,,
06/05/2019,6076,,,,,,,,,,,
07/05/2019,6373,,,,,,,,,,,
08/05/2019,6286,,,,,,,,,,,
09/05/2019,6207,,,,,,,,,,,
10/05/2019,6672,,,,,,,,,,,
11/05/2019,5601,,,,,,,,,,,
12/05/2019,6121,,,,,,,,,,,
13/05/2019,6457,,,,,,,,,,,
14/05/2019,6284,,,,,,,,,,,
15/05/2019,6331,,,,,,,,,,,
16/05/2019,6509,,,,,,,,,,,
17/05/2019,6632,,,,,,,,,,,
18/05/2019,5686,,,,,,,,,,,
19/05/2019,6007,,,,,,,,,,,
20/05/2019,6644,,,,,,,,,,,
21/05/2019,6258,,,,,,,,,,,
22/05/2019,6498,,,,,,,,,,,
23/05/2019,6702,,,,,,,,,,,
