x,fecha
7.204,2000-01-01
7.335,2000-02-01
7.812,2000-03-01
7.413,2000-04-01
9.136,2000-05-01
8.725,2000-06-01
8.751,2000-07-01
9.609,2000-08-01
8.601,2000-09-01
8.93,2000-10-01
8.835,2000-11-01
11.688,2000-12-01
8.078,2001-01-01
7.892,2001-02-01
8.151,2001-03-01
8.738,2001-04-01
9.416,2001-05-01
9.533,2001-06-01
9.943,2001-07-01
10.859,2001-08-01
8.789,2001-09-01
9.96,2001-10-01
9.619,2001-11-01
12.9,2001-12-01
8.62,2002-01-01
8.401,2002-02-01
8.546,2002-03-01
10.004,2002-04-01
10.675,2002-05-01
10.115,2002-06-01
11.206,2002-07-01
11.555,2002-08-01
10.453,2002-09-01
10.421,2002-10-01
9.95,2002-11-01
13.975,2002-12-01
9.315,2003-01-01
9.366,2003-02-01
9.91,2003-03-01
10.302,2003-04-01
11.371,2003-05-01
11.857,2003-06-01
12.387,2003-07-01
12.421,2003-08-01
12.073,2003-09-01
11.963,2003-10-01
10.666,2003-11-01
15.613,2003-12-01
10.586,2004-01-01
10.558,2004-02-01
12.064,2004-03-01
11.899,2004-04-01
12.077,2004-05-01
13.918,2004-06-01
13.611,2004-07-01
14.132,2004-08-01
13.509,2004-09-01
13.152,2004-10-01
13.993,2004-11-01
18.203,2004-12-01
14.262,2005-01-01
13.024,2005-02-01
14.062,2005-03-01
14.718,2005-04-01
16.544,2005-05-01
16.732,2005-06-01
16.23,2005-07-01
18.126,2005-08-01
16.016,2005-09-01
15.601,2005-10-01
15.394,2005-11-01
20.439,2005-12-01
14.991,2006-01-01
14.908,2006-02-01
17.459,2006-03-01
14.501,2006-04-01
18.271,2006-05-01
17.963,2006-06-01
17.026,2006-07-01
18.111,2006-08-01
15.989,2006-09-01
16.735,2006-10-01
15.949,2006-11-01
20.216,2006-12-01
16.198,2007-01-01
15.06,2007-02-01
16.168,2007-03-01
16.376,2007-04-01
18.403,2007-05-01
19.113,2007-06-01
19.303,2007-07-01
20.56,2007-08-01
16.621,2007-09-01
18.788,2007-10-01
17.97,2007-11-01
22.464,2007-12-01
16.658,2008-01-01
16.214,2008-02-01
16.043,2008-03-01
16.418,2008-04-01
17.644,2008-05-01
17.705,2008-06-01
18.107,2008-07-01
17.975,2008-08-01
17.598,2008-09-01
17.658,2008-10-01
15.75,2008-11-01
22.414,2008-12-01
16.065,2009-01-01
15.467,2009-02-01
16.297,2009-03-01
16.53,2009-04-01
18.41,2009-05-01
20.274,2009-06-01
21.311,2009-07-01
20.991,2009-08-01
18.305,2009-09-01
17.832,2009-10-01
18.223,2009-11-01
23.987,2009-12-01
15.964,2010-01-01
16.606,2010-02-01
19.216,2010-03-01
16.419,2010-04-01
19.638,2010-05-01
19.773,2010-06-01
21.052,2010-07-01
22.011,2010-08-01
19.039,2010-09-01
17.893,2010-10-01
19.276,2010-11-01
25.167,2010-12-01
16.699,2011-01-01
16.619,2011-02-01
17.851,2011-03-01
18.16,2011-04-01
22.032,2011-05-01
21.395,2011-06-01
22.217,2011-07-01
24.565,2011-08-01
21.095,2011-09-01
20.114,2011-10-01
19.931,2011-11-01
26.12,2011-12-01
18.58,2012-01-01
18.492,2012-02-01
19.724,2012-03-01
20.123,2012-04-01
22.582,2012-05-01
22.595,2012-06-01
23.379,2012-07-01
24.92,2012-08-01
20.325,2012-09-01
22.038,2012-10-01
20.988,2012-11-01
26.675,2012-12-01
19.061,2013-01-01
19.303,2013-02-01
19.323,2013-03-01
21.573,2013-04-01
23.685,2013-05-01
22.104,2013-06-01
25.34,2013-07-01
25.211,2013-08-01
