x,fecha
1254,1956-01-01
1290,1956-02-01
1379,1956-03-01
1346,1956-04-01
1535,1956-05-01
1555,1956-06-01
1655,1956-07-01
1651,1956-08-01
1500,1956-09-01
1538,1956-10-01
1486,1956-11-01
1394,1956-12-01
1409,1957-01-01
1387,1957-02-01
1543,1957-03-01
1502,1957-04-01
1693,1957-05-01
1616,1957-06-01
1841,1957-07-01
1787,1957-08-01
1631,1957-09-01
1649,1957-10-01
1586,1957-11-01
1500,1957-12-01
1497,1958-01-01
1463,1958-02-01
1648,1958-03-01
1595,1958-04-01
1777,1958-05-01
1824,1958-06-01
1994,1958-07-01
1835,1958-08-01
1787,1958-09-01
1699,1958-10-01
1633,1958-11-01
1645,1958-12-01
1597,1959-01-01
1577,1959-02-01
1709,1959-03-01
1756,1959-04-01
1936,1959-05-01
2052,1959-06-01
2105,1959-07-01
2016,1959-08-01
1914,1959-09-01
1925,1959-10-01
1824,1959-11-01
1765,1959-12-01
1721,1960-01-01
1752,1960-02-01
1914,1960-03-01
1857,1960-04-01
2159,1960-05-01
2195,1960-06-01
2287,1960-07-01
2276,1960-08-01
2096,1960-09-01
2055,1960-10-01
2004,1960-11-01
1924,1960-12-01
1851,1961-01-01
1839,1961-02-01
2019,1961-03-01
1937,1961-04-01
2270,1961-05-01
2251,1961-06-01
2382,1961-07-01
2364,1961-08-01
2129,1961-09-01
2110,1961-10-01
2072,1961-11-01
1980,1961-12-01
1995,1962-01-01
1932,1962-02-01
2171,1962-03-01
2162,1962-04-01
2489,1962-05-01
2424,1962-06-01
2641,1962-07-01
2630,1962-08-01
2324,1962-09-01
2412,1962-10-01
2284,1962-11-01
2186,1962-12-01
2184,1963-01-01
2144,1963-02-01
2379,1963-03-01
2383,1963-04-01
2717,1963-05-01
2774,1963-06-01
3051,1963-07-01
2891,1963-08-01
2613,1963-09-01
2600,1963-10-01
2493,1963-11-01
2410,1963-12-01
2390,1964-01-01
2463,1964-02-01
2616,1964-03-01
2734,1964-04-01
2970,1964-05-01
3125,1964-06-01
3342,1964-07-01
3207,1964-08-01
2964,1964-09-01
2919,1964-10-01
2764,1964-11-01
2732,1964-12-01
2622,1965-01-01
2698,1965-02-01
2950,1965-03-01
2895,1965-04-01
3200,1965-05-01
3408,1965-06-01
3679,1965-07-01
3473,1965-08-01
3154,1965-09-01
3107,1965-10-01
3052,1965-11-01
2918,1965-12-01
2786,1966-01-01
