fecha,Usos bicis abono anual día,Usos bicis abono ocasional día,Usos bicis total día
23/06/2014,20,79,99
24/06/2014,24,48,72
25/06/2014,105,14,119
26/06/2014,120,15,135
27/06/2014,131,18,149
28/06/2014,101,18,119
29/06/2014,107,33,140
30/06/2014,121,16,137
01/07/2014,126,6,132
02/07/2014,128,2,130
03/07/2014,85,7,92
04/07/2014,121,4,125
05/07/2014,783,3,786
06/07/2014,"1,230",5,"1,235"
07/07/2014,"1,324",3,"1,327"
08/07/2014,"1,774",6,"1,780"
09/07/2014,"1,874",8,"1,882"
10/07/2014,"2,266",7,"2,273"
11/07/2014,"2,212",2,"2,214"
12/07/2014,"1,949",4,"1,953"
13/07/2014,"1,792",2,"1,794"
14/07/2014,"2,311",3,"2,314"
15/07/2014,"2,537",2,"2,539"
16/07/2014,"2,673",7,"2,680"
17/07/2014,"2,651",8,"2,659"
18/07/2014,"2,547",5,"2,552"
19/07/2014,"2,359",2,"2,361"
20/07/2014,"2,371",2,"2,373"
21/07/2014,"2,676",3,"2,679"
22/07/2014,"2,935",4,"2,939"
23/07/2014,"2,927",5,"2,932"
24/07/2014,"3,204",9,"3,213"
25/07/2014,"3,084",2,"3,086"
26/07/2014,"2,467",0,"2,467"
27/07/2014,"2,321",0,"2,321"
28/07/2014,"2,894",4,"2,898"
29/07/2014,"3,168",3,"3,171"
30/07/2014,"3,238",5,"3,243"
31/07/2014,"3,365",5,"3,370"
01/08/2014,"3,048",6,"3,054"
02/08/2014,"2,533",1,"2,534"
03/08/2014,"2,624",0,"2,624"
04/08/2014,"2,813",4,"2,817"
05/08/2014,"2,830",6,"2,836"
06/08/2014,"3,054",6,"3,060"
07/08/2014,"2,967",5,"2,972"
08/08/2014,"2,907",9,"2,916"
09/08/2014,"2,582",0,"2,582"
10/08/2014,"2,687",1,"2,688"
11/08/2014,"2,900",2,"2,902"
12/08/2014,"3,008",3,"3,011"
13/08/2014,"3,102",9,"3,111"
14/08/2014,"2,791",3,"2,794"
15/08/2014,"2,392",0,"2,392"
16/08/2014,"2,254",0,"2,254"
17/08/2014,"2,444",3,"2,447"
18/08/2014,"2,945",5,"2,950"
19/08/2014,"3,155",5,"3,160"
20/08/2014,"3,358",0,"3,358"
21/08/2014,"3,678",4,"3,682"
22/08/2014,"3,419",0,"3,419"
23/08/2014,"3,158",0,"3,158"
24/08/2014,"3,421",1,"3,422"
25/08/2014,"3,556",3,"3,559"
26/08/2014,"3,992",1,"3,993"
27/08/2014,"4,008",2,"4,010"
28/08/2014,"4,125",6,"4,131"
29/08/2014,"4,255",5,"4,260"
30/08/2014,"4,002",1,"4,003"
31/08/2014,"4,323",0,"4,323"
01/09/2014,"4,292",7,"4,299"
02/09/2014,"4,608",8,"4,616"
03/09/2014,"5,163",8,"5,171"
04/09/2014,"5,334",5,"5,339"
05/09/2014,"4,957",1,"4,958"
06/09/2014,"4,791",1,"4,792"
07/09/2014,"4,724",1,"4,725"
08/09/2014,"4,917",3,"4,920"
09/09/2014,"5,209",6,"5,215"
10/09/2014,"5,297",0,"5,297"
11/09/2014,"5,246",7,"5,253"
12/09/2014,"5,340",1,"5,341"
13/09/2014,"4,827",0,"4,827"
14/09/2014,"4,978",1,"4,979"
15/09/2014,"5,022",7,"5,029"
16/09/2014,"5,021",2,"5,023"
17/09/2014,"4,739",1,"4,740"
18/09/2014,"4,319",1,"4,320"
19/09/2014,"4,858",1,"4,859"
20/09/2014,"5,028",2,"5,030"
21/09/2014,"4,955",0,"4,955"
22/09/2014,"4,750",5,"4,755"
23/09/2014,"5,403",2,"5,405"
24/09/2014,"4,867",1,"4,868"
25/09/2014,"5,904",2,"5,906"
26/09/2014,"5,595",3,"5,598"
27/09/2014,"5,083",0,"5,083"
28/09/2014,"4,008",1,"4,009"
29/09/2014,"4,976",6,"4,982"
30/09/2014,"5,616",4,"5,620"
01/10/2014,"5,894",5,"5,899"
02/10/2014,"6,050",0,"6,050"
03/10/2014,"6,325",8,"6,333"
04/10/2014,"6,017",0,"6,017"
05/10/2014,"5,720",0,"5,720"
06/10/2014,"5,427",4,"5,431"
07/10/2014,"5,751",2,"5,753"
08/10/2014,"6,037",10,"6,047"
09/10/2014,"3,697",3,"3,700"
10/10/2014,"4,669",6,"4,675"
