date,users
1/7/20,2324
2/7/20,2201
3/7/20,2146
4/7/20,1666
5/7/20,1433
6/7/20,2195
7/7/20,2240
8/7/20,2295
9/7/20,2279
10/7/20,2155
11/7/20,1737
12/7/20,1391
13/7/20,2150
14/7/20,2121
15/7/20,2136
16/7/20,2166
17/7/20,2067
18/7/20,1648
19/7/20,1401
20/7/20,2040
21/7/20,2269
22/7/20,2283
23/7/20,2174
24/7/20,2178
25/7/20,1659
26/7/20,1338
27/7/20,2041
28/7/20,2162
29/7/20,2123
30/7/20,2147
31/7/20,2124
1/8/20,1533
2/8/20,1398
3/8/20,2080
4/8/20,2110
5/8/20,2235
6/8/20,2100
7/8/20,1815
8/8/20,1635
9/8/20,1477
10/8/20,2060
11/8/20,2227
12/8/20,2054
13/8/20,2247
14/8/20,2358
15/8/20,1676
16/8/20,1384
17/8/20,2101
18/8/20,2281
19/8/20,2144
20/8/20,2161
21/8/20,2088
22/8/20,1596
23/8/20,1411
24/8/20,1952
25/8/20,2116
26/8/20,2228
27/8/20,2132
28/8/20,2092
29/8/20,1659
30/8/20,1476
31/8/20,2213
1/9/20,2206
2/9/20,2543
3/9/20,2670
4/9/20,2537
5/9/20,1858
6/9/20,1458
7/9/20,2422
8/9/20,2682
9/9/20,2817
10/9/20,2905
11/9/20,2641
12/9/20,2059
13/9/20,1708
14/9/20,2557
15/9/20,2762
16/9/20,2448
17/9/20,2784
18/9/20,2743
19/9/20,2172
20/9/20,1770
21/9/20,2977
22/9/20,3404
23/9/20,3534
24/9/20,3134
25/9/20,3086
26/9/20,2586
27/9/20,2040
28/9/20,3130
29/9/20,3632
30/9/20,3495
1/10/20,3411
2/10/20,3444
3/10/20,2457
4/10/20,2138
5/10/20,3281
6/10/20,3780
7/10/20,3775
8/10/20,3872
9/10/20,3600
10/10/20,2721
11/10/20,2307
12/10/20,3216
13/10/20,3994
14/10/20,4064
15/10/20,4201
16/10/20,4124
17/10/20,3116
18/10/20,2561
19/10/20,4185
20/10/20,4630
21/10/20,4513
22/10/20,4656
23/10/20,4319
24/10/20,3160
25/10/20,2824
26/10/20,4132
27/10/20,4553
28/10/20,4559
29/10/20,4621
30/10/20,4258
31/10/20,3092
1/11/20,2324
2/11/20,3342
3/11/20,4318
4/11/20,4821
5/11/20,4855
6/11/20,4604
7/11/20,3544
8/11/20,3195
9/11/20,5045
10/11/20,5265
11/11/20,5282
12/11/20,5419
13/11/20,5130
14/11/20,3861
15/11/20,3317
16/11/20,4156
17/11/20,5258
18/11/20,5668
19/11/20,5565
20/11/20,5306
21/11/20,4073
22/11/20,3579
23/11/20,5828
24/11/20,6807
25/11/20,6774
26/11/20,6587
27/11/20,6312
28/11/20,4810
29/11/20,4110
30/11/20,6117
1/12/20,6298
2/12/20,6587
3/12/20,6671
4/12/20,5235
5/12/20,3416
6/12/20,2855
7/12/20,4079
8/12/20,3983
9/12/20,4418
10/12/20,4660
11/12/20,3894
12/12/20,2965
13/12/20,2459
14/12/20,3698
15/12/20,3751
16/12/20,3565
17/12/20,3179
18/12/20,2781
19/12/20,1931
20/12/20,1558
21/12/20,1934
22/12/20,1973
23/12/20,1640
24/12/20,886
25/12/20,472
26/12/20,863
27/12/20,987
28/12/20,1432
29/12/20,1390
30/12/20,1278
31/12/20,785
1/1/21,488
2/1/21,922
3/1/21,1144
4/1/21,1677
5/1/21,1968
6/1/21,1750
7/1/21,2108
8/1/21,2012
9/1/21,1574
10/1/21,1569
11/1/21,2413
12/1/21,2604
13/1/21,2441
14/1/21,2596
15/1/21,2400
16/1/21,1994
17/1/21,1871
18/1/21,2545
19/1/21,2706
20/1/21,2753
21/1/21,2587
22/1/21,2377
23/1/21,1739
24/1/21,1747
25/1/21,2555
26/1/21,2666
27/1/21,2695
28/1/21,2640
29/1/21,2459
30/1/21,1808
31/1/21,1724
1/2/21,2320
2/2/21,2463
3/2/21,2594
4/2/21,2446
5/2/21,2379
6/2/21,1883
7/2/21,1538
8/2/21,2390
9/2/21,2521
10/2/21,2606
11/2/21,2467
12/2/21,2342
13/2/21,1652
14/2/21,1438
15/2/21,2185
16/2/21,2311
17/2/21,2563
18/2/21,2622
19/2/21,2336
20/2/21,1693
21/2/21,1579
22/2/21,2499
23/2/21,2920
24/2/21,2726
25/2/21,2827
26/2/21,2567
27/2/21,2015
28/2/21,1670
1/3/21,2642
2/3/21,2827
3/3/21,3129
4/3/21,3154
5/3/21,2758
6/3/21,2050
7/3/21,1968
8/3/21,2902
9/3/21,2954
10/3/21,3072
11/3/21,3116
12/3/21,2928
13/3/21,2133
14/3/21,1987
15/3/21,2726
16/3/21,3218
17/3/21,3178
18/3/21,3127
19/3/21,2848
20/3/21,2069
21/3/21,1926
22/3/21,3227
23/3/21,3189
24/3/21,3192
25/3/21,3177
26/3/21,2952
27/3/21,1964
28/3/21,1482
29/3/21,2179
30/3/21,2286
31/3/21,2038
1/4/21,1464
2/4/21,1381
3/4/21,1360
4/4/21,1359
5/4/21,2225
6/4/21,2605
7/4/21,2615
8/4/21,2519
9/4/21,2837
10/4/21,2118
11/4/21,1966
12/4/21,2924
13/4/21,3182
14/4/21,3134
15/4/21,3127
16/4/21,3167
17/4/21,2504
18/4/21,2330
19/4/21,3605
20/4/21,3585
21/4/21,3852
22/4/21,3914
23/4/21,3541
24/4/21,2794
25/4/21,2467
26/4/21,3585
27/4/21,4022
28/4/21,3690
29/4/21,3579
30/4/21,3331
1/5/21,2543
2/5/21,2292
3/5/21,3645
4/5/21,3698
5/5/21,3623
6/5/21,3529
